Metric;Spearman_r;Spearman_p;Pearson_r;Pearson_p;N
mean_SpectralNorm vs mean_BC;0.5993070761184068;5.024400067699419e-301;0.21272734857602874;5.5404210349982034e-33;3093
trend_SpectralNorm vs trend_BC;0.0796047400954423;9.317129370976167e-06;0.04195059505998265;0.01963997508324205;3093
mean_SpectralNorm vs BC_EuclideanNorm;0.6139901686474212;5.8487e-320;0.20633979286524595;4.323187029857295e-31;3093
