x;y;life_span;mean_SpectralNorm;max_SpectralNorm;trend_SpectralNorm;mean_DeltaSpec;max_DeltaSpec;n_role_changes;EvolutionType;index_right;Name;Name_en;dist_to_station
3370933;7644110;48;0.17030909995147983;0.7041364830205299;0.012408083092484751;0.01807243591150727;0.4440447647613106;0;4;472;Парголово;Pargolovo;132.96723213525115
3371040;7644148;48;0.028803718315895444;0.06817893267193105;-0.0007738325153006796;0.0022120189703648298;0.02617594941351363;0;0;472;Парголово;Pargolovo;169.26791019552974
3373113;6838997;51;0.09131045094392544;0.23332985525371516;-0.002364016061818181;0.011589906127678892;0.10679571359609259;0;0;912;Витебск;Vitebsk;0.10468032462196564
3373367;7634008;11;0.6594894225461055;0.7050704212879118;0.01820559762875287;0.01680716720104375;0.16720353789780795;0;1;462;Проспект Испытателей;Prospekt Ispytatelej;188.27348438577502
3373371;7634000;3;0.017947131020517;0.017952143006954684;-6.519849958219025e-06;7.517979656528062e-06;1.4037829614742953e-05;0;2;462;Проспект Испытателей;Prospekt Ispytatelej;195.74857783069191
3373375;7634006;3;0.01661779817044239;0.016622438922157003;-6.036928720432486e-06;6.9611275719198146e-06;1.299805629234943e-05;0;2;462;Проспект Испытателей;Prospekt Ispytatelej;189.39200754715628
3373392;7634003;11;0.013840425650267617;0.0151121819438536;-0.00012214533507641986;0.000415608280097521;0.001167518409155117;0;2;462;Проспект Испытателей;Prospekt Ispytatelej;191.6711113410285
3373392;7634195;11;0.059541347542996496;0.05962355890687388;2.2503513864312665e-05;5.565529433420313e-05;0.00020924261542724226;0;2;462;Проспект Испытателей;Prospekt Ispytatelej;0.5855963282915697
3374372;7650872;15;0.7598269857385064;0.9391519936728682;-0.03771726489513101;0.07010210934862277;0.5448081519001395;0;1;751;Парнас;Parnas;6443.7126665572405
3374722;7650834;15;0.73830419053603;0.9999280274148376;-0.07716835842695191;0.07122845042933161;0.9753828249838928;0;1;751;Парнас;Parnas;6121.921314158675
3375267;7647384;7;0.5281020177319774;0.6232597289820148;0.04448267100831804;0.10311238131612249;0.4873957852447011;0;1;751;Парнас;Parnas;4724.781304649013
3375726;7631431;59;0.1134928598960397;0.6654264862350788;-0.006611238946791633;0.04519506649043732;0.597665977934755;0;4;1145;Завод Ильича;Zavod Il'icha;213.5324747318082
3375827;7645339;3;0.002742349131578808;0.0030031233437686215;-0.00023866143720838016;0.0002386614372083735;0.00030499976215269406;0;2;751;Парнас;Parnas;4778.457294542564
3375834;7645322;3;0.13885937554818398;0.1437600135794512;0.0015464929478246762;0.0073509570469008495;0.008897449994726359;0;2;751;Парнас;Parnas;4780.807832905135
3376227;7590904;7;0.03974757116227429;0.04498199444637095;0.00135947209912052;0.004187190527218669;0.011038081296077307;0;2;752;Пулковская;Pulkovskaja;0.2520462245688247
3377029;7617893;39;0.022216918288562575;0.03427661121669337;-0.0003234319666994352;0.002327558674384698;0.010460604465637652;0;0;463;РП-9;RP-9;0.4163917976576685
3377803;7608767;75;0.18167770480267437;0.7820671561590589;-0.006012561044708925;0.05026411546101399;0.4827224293663335;0;4;465;Чесменская;Chesmenskaja;0.35976832863523867
3378215;7608685;10;0.02151301451419223;0.03159249266253922;-0.0013779124937457097;0.002148052134790091;0.00828107535478791;0;2;1147;Чесменская;Chesmenskaja;0.5415942467525082
3379514;7647979;6;0.020904583585918447;0.02372635634214254;-0.0007826882561688894;0.0009725187843448336;0.0017291967737788697;0;2;751;Парнас;Parnas;543.9029635497802
3379540;7648026;6;0.02247592744010817;0.02575297129810163;-0.0009509477953099085;0.0010926389581640856;0.0018523935915983648;0;2;751;Парнас;Parnas;548.2744042521808
3379653;7619063;11;0.024156615656076096;0.03201960651700928;-0.0008820827612410697;0.0022485953879760323;0.00885603455301743;0;2;754;Центральная;Tsentral'naja;0.20001024937286369
3379981;7647700;6;0.004027444553481731;0.004604987964771159;-0.00016349418617429606;0.00019637167050392916;0.0003416290981645446;0;2;751;Парнас;Parnas;0.49553911194433786
3381413;7629108;10;0.028947973538267984;0.03804769241218175;-0.0013083688173318548;0.0021471344544414417;0.007914121404168133;0;2;1141;Волхов-Северная;Volhov-Severnaja;0.2824873962985524
3381625;7628797;65;0.24679332345152907;0.9781295286459547;-0.014408990282424606;0.03441927643156546;0.6231835241531761;0;4;853;Волхов-Северная;Volhov-Severnaja;0.21691454382183437
3387883;7604761;20;0.028462133109702397;0.03486768665347272;-0.00015081783105228485;0.0017177621771991007;0.009228215393571802;0;2;27;Южная ТЭЦ-22;Juzhnaja TETs-22;2048.352071049806
3387947;7604822;11;0.022597578487062134;0.02996323029273477;-0.001229492096880365;0.0016030733518705767;0.006759690198569784;0;2;27;Южная ТЭЦ-22;Juzhnaja TETs-22;1977.616507964543
3389266;7605182;11;0.01604206730389194;0.022952354654823;-0.001115131934609136;0.0014417293530415974;0.006282131978579145;0;2;27;Южная ТЭЦ-22;Juzhnaja TETs-22;665.6883634049138
3389589;7605395;11;0.001946754955762621;0.002789147015190447;-0.00013537753045132894;0.0001771791489449649;0.0007697708473669931;0;2;852;Южная;Juzhnaja;423.6890226248527
3389694;7605806;42;0.10087066115941543;0.17701929326967025;-0.0016877407022460272;0.014771689560542025;0.062014780085300286;0;0;852;Южная;Juzhnaja;0.5417488150896685
3389914;7605029;44;0.005565272318538785;0.009975522552669954;1.8009409654139742e-05;0.0007734283493752453;0.004458211046471872;0;0;27;Южная ТЭЦ-22;Juzhnaja TETs-22;0.3954401208627892
3390418;7605975;11;0.06233599173355567;0.09347169936467406;-0.005048187092414572;0.006250887627743937;0.02514731040184101;0;2;756;Южная;Juzhnaja;0.4152982662589535
