x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation
2280757;6777228;46;3.9960893914305627e-07;2.257620881488073e-06;3.7460980102357116e-08;8.647917317765421e-08;1.9398002393713496e-06;5.936720476722929e-06;7.787815737693348e-07
2284652;6795827;35;1.6278114195657055e-07;1.923845844797584e-06;2.5519504358774708e-08;5.813690528382487e-08;1.923845844797584e-06;3.289575261796403e-06;5.316789014013974e-07
2291150;6779588;11;4.282657251907295e-07;6.412819482658614e-07;2.7248714387022052e-08;3.914693376858931e-08;3.135941298966653e-07;1.4812077218536805e-06;1.2665252040503098e-07
2291902;6779172;3;1.8991133228266565e-06;1.923845844797584e-06;-2.6404467426233196e-08;2.6404467426230767e-08;3.1420303792140646e-08;3.289575261796403e-06;2.1688431707239838e-08
2366458;6937814;50;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2439801;6840607;55;5.413176886022447e-06;8.439169561603224e-06;9.444447988349958e-08;5.295333275501765e-07;4.41068222329053e-06;4.335886164036942e-05;2.2088839748264376e-06
2456130;6843516;10;6.0196576537017225e-06;6.412819482658614e-06;9.472236525866778e-09;2.0489510427744743e-07;8.421265703822808e-07;1.9060783955923033e-05;3.0833461315196604e-07
2531612;6846850;36;2.414675047508311e-06;3.013989129144009e-06;-9.495181900551687e-09;1.0074918377325658e-07;5.454104964166647e-07;1.455572165674706e-05;2.3365643620982055e-07
2671680;6821774;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2699014;6800591;33;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2971627;7367545;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2995109;7733747;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3040776;7067808;40;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3106459;7512666;57;0.0013276839871398998;0.006568125438620674;-5.972637543958381e-06;0.0002717448994411841;0.006374699095970921;0.018034716648259494;0.001985802912031502
3120359;7804319;42;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3126463;6534436;29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3129551;7527716;3;0.0015492590876988335;0.001559277057208442;-1.0798278359272288e-05;1.0798278359271086e-05;1.31392049082591e-05;0.002683439587800463;8.885548612846514e-06
