EvolutionType;0;1;2;3;4;5
0;0.024111675126903553;0.024111675126903553;0.021573604060913704;0.06662436548223351;0.8521573604060914;0.011421319796954314
1;0.6153846153846154;0.0;0.038461538461538464;0.038461538461538464;0.3076923076923077;0.0
2;0.9665226781857451;0.014038876889848811;0.0010799136069114472;0.016198704103671708;0.0;0.0021598272138228943
3;1.0;0.0;0.0;0.0;0.0;0.0
4;0.09943714821763602;0.08630393996247655;0.02626641651031895;0.12570356472795496;0.6135084427767354;0.04878048780487805
