node_key;epoch;x;y;n_rows;mean_SpectralNorm;max_SpectralNorm;mean_DeltaSpec;max_DeltaSpec
"(10001126.0;6876556.0)";1953-1962;10001126.0;6876556.0;1;2.558780299996704e-16;2.558780299996704e-16;;
"(10001126.0;6876556.0)";1963-1972;10001126.0;6876556.0;10;0.10955111123341381;0.25645085256352834;0.08202521269823834;0.29378269881917574
"(10001126.0;6876556.0)";1973-1982;10001126.0;6876556.0;10;0.1390251532078264;0.18881019462502854;0.08281608851995627;0.14862904775673252
"(10001126.0;6876556.0)";1983-1992;10001126.0;6876556.0;10;0.060552056799475396;0.07295304632563;0.02827997836872707;0.05387590909020367
"(10001126.0;6876556.0)";1993-2002;10001126.0;6876556.0;6;0.06977570485475174;0.08189347856859383;0.022370081918722296;0.05678005110554185
"(10001256.0;6876789.0)";1993-2002;10001256.0;6876789.0;4;0.08558378782264184;0.08747652016937406;0.00428197540149717;0.005369150292098617
"(10001256.0;6876789.0)";2003-2012;10001256.0;6876789.0;10;0.07055748583137787;0.08556879028582008;0.01169392911276459;0.06480162894752253
"(10001256.0;6876789.0)";2013-2022;10001256.0;6876789.0;8;0.07922404468527447;0.08482258145142801;0.01656000215561867;0.04621802942126447
"(10001653.0;6876724.0)";1953-1962;10001653.0;6876724.0;1;3.980542534242284e-15;3.980542534242284e-15;;
"(10001653.0;6876724.0)";1963-1972;10001653.0;6876724.0;2;0.2953654420353748;0.3449381282159578;0.2874551889542967;0.3449381282159553
"(10012282.0;6731902.0)";1973-1982;10012282.0;6731902.0;1;0.025597443294882026;0.025597443294882026;;
"(10012282.0;6731902.0)";1983-1992;10012282.0;6731902.0;10;0.01571214405508046;0.020121722391551678;0.006959656931846451;0.01555980675329777
"(10012282.0;6731902.0)";1993-2002;10012282.0;6731902.0;10;0.018310720865001708;0.02086734389045941;0.0047926139466436535;0.013371168830103775
"(10012282.0;6731902.0)";2003-2012;10012282.0;6731902.0;10;0.016956885819958908;0.020401147024280232;0.0027988091161214503;0.015401247578899107
